DESCRIPTION,FA_ACCEPTED_DATE,FA_ANALYST,FA_LOCATION,LOT,MOULD_COMPOUND,PK_PACKAGE_NAME,PLAN_TRANSFER_DAY_TO_FA,PRECEDING_STRESS_OPERATION,PRECEEDING_STRESS,PROD_BASIC_TYPE,PROJ_PROJECT_NAME,PROJ_THEMA2,PROJECT_LINE,QM,STARTING_MONTH,TEMPLATE_NAME,TEST_ALREADY_IN_FA,TEST_LAB_TRACKING_NO,TESTSTATE,WIRE_DIAMETER,WIRE_MATERIAL,PRIORITY,PROJ_ID
"T0 PTA -HH leg
Attention to Dela Cruz Genny (IFAP FE QM FA PI OPS) 

PTA instructions:
External Visual Inspection (EVI): 5 units
X-Ray Top view to check DA voids%: 5 units
X-Ray Side view: 5 units 
SAM (die top, top and bottom die paddle, top and bottom leads, DA and through scan): 15 units
Internal Visual Inspection (IVI): Overview: 3 units and Die abnormality: 3 units (pls check if any lifted, cracked or broken die)
SEM - wire integrity: 3 units (pls check if any lifted, cracked or broken wires)
Small diameter wire pull: 3 units 
Large diameter wire pull: 3 units",11/1/2022 10:23:59 AM,,FA SIN_PTA,VC224478505_44939,EME-7026,PG-TO263-9-1,11/1/2022 12:00:00 AM,SPLIT,PC,L8704,Q22ZY401_CYL196,ALP_ eD2PAK _SiC MOS_ PG-TO263-9-1_ATJ,OSP,Zhu Ye (IFAP BE TS QM RQ 1),2022-11,PTA,YES,MT224382.06,START,,,3,274663
"Q006: PTA_FULL at 0h, 40 samples

Ship to Goh Jia Yi (IFAP FE QM FA PI) 
G-3000-37PB0179-00-0-00

** Take note -  Mold compound is G630AY

Refer to attachment for Q006-PTA  instruction in MT222317.10

** Please inform Goh Jia Yi / Ong Si Hui if SAT observed delam 

Refer to attachment ""FA Submission for JESD47 Ball Shear (MT222317.10)"" to provide Ball Shear/Area

PDR ball bond diameter for MT222317.10: 
Red M6453 C11HV-CTR ball - 80.3 um
Blue stitch on bump (C11HV chip) - 85.7 um
Yellow M6452 C11HV ball - 77.8 um
Green stitch on bump (Ag plating) - 90.1 um
",11/1/2022 10:40:18 AM,Bong Wuan Lii Shirley (IFAP FE QM FA PI),FA SIN_PTA,ZA221012H03,EME G630AY,PG-DSO-16-46,11/1/2022 12:00:00 AM,SPLIT,PC,U6451,Q22AW199_CYL086,Digital Isolator Q006 Qualification - HH,DSO_PD,Ang Winston (IFAP BE TS QM RQ 1),2022-11,PTA-Q006,YES,MT222317.10,ASSESSED,,,3,264062
"PTA for TC1000c MM leg
Addtional request to provide 1 unit for cratering check

To be shipped to FA SIN, attention to Dan Swee Tong (IFAP FE QM FA PI) +65 68664504.
Refer to zero hour FA submission template.
To use as reference for subsequent same lot stress readout PTA reports.",11/1/2022 10:21:54 AM,Bong Wuan Lii Shirley (IFAP FE QM FA PI),FA SIN_PTA,BS186980H03_MM,CEL 9240 HF10 AK,PG-DSO-8-92,11/1/2022 12:00:00 AM,SPLIT,TC,M2919,Q22TSK60_LAF004,ALP_TH-X_M2919_PG-DSO-8-92_HANA _MM,OSP,Tay Soon Kiat (IFAP BE TS QM RQ 1),2022-11,PTA,YES,MT22334J.14,ASSESSED,,,3,269136
"T0 PTA -LL leg
Attention to Dela Cruz Genny (IFAP FE QM FA PI OPS) 

PTA instructions:
External Visual Inspection (EVI): 5 units
X-Ray Top view to check DA voids%: 5 units
X-Ray Side view: 5 units 
SAM (die top, top and bottom die paddle, top and bottom leads, DA and through scan): 15 units
Internal Visual Inspection (IVI): Overview: 3 units and Die abnormality: 3 units (pls check if any lifted, cracked or broken die)
SEM - wire integrity: 3 units (pls check if any lifted, cracked or broken wires)
Small diameter wire pull: 3 units 
Large diameter wire pull: 3 units",11/1/2022 10:24:24 AM,,FA SIN_PTA,VC224478506_44939,EME-7026,PG-TO263-9-1,11/1/2022 12:00:00 AM,SPLIT,PC,L8704,Q22ZY402_CYL197,ALP_ eD2PAK _SiC MOS_ PG-TO263-9-1_ATJ,OSP,Zhu Ye (IFAP BE TS QM RQ 1),2022-11,PTA,YES,MT224383.07,START,,,3,277352
"Q006: PTA_FULL at 0h, 40 samples

Ship to Goh Jia Yi (IFAP FE QM FA PI) 
G-3000-37PB0179-00-0-00

** Take note -  Mold compound is G630AY

Refer to attachment for Q006-PTA  instruction in MT222315.10

** Please inform Goh Jia Yi / Ong Si Hui if SAT observed delam 

Refer to attachment ""FA Submission for JESD47 Ball Shear (MT222315.10)"" to provide Ball Shear/Area

PDR ball bond diameter for MT222315.10: 
Red M6453 C11HV-CTR ball - 79.4 um
Blue stitch on bump (C11HV chip) - 83.4 um
Yellow M6452 C11HV ball - 74.3 um
Green stitch on bump (Ag plating) - 88.1 um
",11/1/2022 10:39:52 AM,Ong Si Hui (IFAP FE QM FA PI),FA SIN_PTA,ZA220355H10-HE236,EME G630AY,PG-DSO-16-46,11/1/2022 12:00:00 AM,SPLIT,PC,U6451,Q22AW197_CYL084,Digital Isolator Q006 Qualification - LL,DSO_PD,Ang Winston (IFAP BE TS QM RQ 1),2022-11,PTA-Q006,YES,MT222315.10,ASSESSED,,,3,263695
"Cu Wire
belongs together with RQ22261S.24 
Zhang Hai Shu (IFAP FE QM FA PI) <Hai-Shu.Zhang@infineon.com>
",11/2/2022 7:47:44 AM,Ling Su Lin (IFAP FE QM FA PI OPS),FA-SIN,ZA205257S05 #18,AMK MC27,PG-LQFP-144-26,11/2/2022 12:00:00 AM,T_TC_500_R1,TC,M6320,Q22MR|LR02_M6350B_L90FLI-DRS_PG-LQFP-144-26-ATP-Pkgqual-ESD CDM_Lot1,package qualification XMC product: ALP_CSS_XMC_Trans_xQFP_FTK_ATP,G3,Ravindran Lakshmy (IFAG CSS QM 2),2022-11,IPI,YES,RQ22261T.24,END,,,3,264125
"H3TRB_HV 500h - PTA, please ship to Dan Swee Tong (IFAP FE QM FA PI)   

10 units for EVI
10 units for SAT
3 units for IVI
For 75um wire - 3units for Pull & 3 units for Shear
For 250um wire- 3units for Pull & 3 units for Shear",11/3/2022 12:57:32 PM,Ong Si Hui (IFAP FE QM FA PI),FA SIN_PTA,VC1448810UN_32496-Marking Code: HE3,EME E500 HA,PG-TO247-4-16,11/3/2022 12:00:00 AM,SPLIT,H3TRB_HV,L8864,Q22SY011_CYL127,ALP_SiCMOS_Gen1_750V_ATV_TO247_TFME,OSP,Lam Ying Ying (IFAP BE TS QM RQ 1),2022-11,PTA,YES,MT22356R.07,ASSESSED,,,3,268637
"belongs together withRQ22261T.24
Zhang Hai Shu (IFAP FE QM FA PI) <Hai-Shu.Zhang@infineon.com>",11/3/2022 10:27:24 AM,Yang Jun (IFAP FE QM FA PI),FA-SIN,ZA205257S05 #19,AMK MC27,PG-LQFP-144-26,11/3/2022 12:00:00 AM,T_TC_500_R1,TC,M6320,Q22MR|LR02_M6350B_L90FLI-DRS_PG-LQFP-144-26-ATP-Pkgqual_Lot2,package qualification XMC product: ALP_CSS_XMC_Trans_xQFP_FTK_ATP,G3,Ravindran Lakshmy (IFAG CSS QM 2),2022-11,IPI,YES,RQ22261S.24,END,,,3,268694
"If Ball Bond Diameter is 48+/-4, Ball shear stregth is >/=10.
If Ball Bond Diameter is 39+/-2, Ball shear stregth is >/= 8.",11/7/2022 9:12:57 AM,Ling Su Lin (IFAP FE QM FA PI OPS),FA-SIN,ZA239449A04,MC_EME G700 CA,PG-TSSOP-38-11,11/7/2022 12:00:00 AM,,TC,M1704,PM_22Y_4834_M1704B,Yearly monitoring,OSA_PM,Lebedev Dmitri (IFAG ATV QM MC P58),2022-11,IPI,YES,SI220122.09,END,20µm,BW_Au_2N_20_µm,3,266908
TC3000x (-55/150C)- Q006 IPI,11/8/2022 10:54:28 AM,Bong Wuan Lii Shirley (IFAP FE QM FA PI),FA-SIN,6Q112003H01,EME G750 SE,PG-LFBGA-516-10,11/8/2022 12:00:00 AM,T_TC_3000_R3,TC,M3990,C40_TC39x M3990L LFBGA516-10 DD fab transfer package qual 7.5nm- HH,PPQ-21-017,PT_OSA,Chua Su Ya (IFAP BE TS QM RQ 3),2022-11,IPI-Q006,YES,SI221115.18,END,,CU-4N 20µM PD-COATED,3,260790
"PTA for TC2000c HH leg
Addtional request to provide 1 unit for cratering check.

To be shipped to FA SIN, attention to Dan Swee Tong (IFAP FE QM FA PI) +65 68664504.
Refer to zero hour FA submission template.
To use as reference for subsequent same lot stress readout PTA reports.",11/8/2022 11:39:35 AM,Goh Jia Yi (IFAP FE QM FA PI),FA SIN_PTA,BS186980H04_HH,CEL 9240 HF10 AK,PG-DSO-8-92,11/8/2022 12:00:00 AM,SPLIT,TC,M2919,Q22TSK62_LAF006,ALP_TH-X_M2919_PG-DSO-8-92_HANA _HH,OSP,Tay Soon Kiat (IFAP BE TS QM RQ 1),2022-11,PTA,YES,MT22334K.16,ASSESSED,,,3,270305
TC3000x (-55/150)- IPI,11/8/2022 10:49:52 AM,Bong Wuan Lii Shirley (IFAP FE QM FA PI),FA-SIN,6Q112003H02,EME G750 SE,PG-LFBGA-516-10,11/8/2022 12:00:00 AM,T_TC_3000_R3,TC,M3990,C40_TC39x M3990L LFBGA516-10 DD fab transfer package qual 7.5nm- LL,PPQ-21-017,PT_OSA,Chua Su Ya (IFAP BE TS QM RQ 3),2022-11,IPI-Q006,YES,SI221114.18,END,,CU-4N 20µM PD-COATED,3,260794
"T0 PTA -MM leg
Attention to Dela Cruz Genny (IFAP FE QM FA PI OPS) 

PTA instructions:
External Visual Inspection (EVI): 5 units
X-Ray Top view to check DA voids%: 5 units
X-Ray Side view: 5 units 
SAM (die top, top and bottom die paddle, top and bottom leads, DA and through scan): 15 units
Internal Visual Inspection (IVI): Overview: 3 units and Die abnormality: 3 units (pls check if any lifted, cracked or broken die)
SEM - wire integrity: 3 units (pls check if any lifted, cracked or broken wires)
Small diameter wire pull: 3 units 
Large diameter wire pull: 3 units",11/8/2022 11:25:48 AM,Ong Si Hui (IFAP FE QM FA PI),FA SIN_PTA,VC223261510_45001,EME-7026,PG-TO263-9-1,11/8/2022 12:00:00 AM,SPLIT,PC,L8704,Q22ZY404_CYL198,ALP_ eD2PAK _SiC MOS_ PG-TO263-9-1_ATJ,OSP,Zhu Ye (IFAP BE TS QM RQ 1),2022-11,PTA,YES,MT224468.07,ASSESSED,,,3,277365
"after PC PTA -LL leg
Attention to Dela Cruz Genny (IFAP FE QM FA PI OPS) 

PTA instructions:
External Visual Inspection (EVI): 5 units
SAM (die top, top and bottom die paddle, top and bottom leads, DA and through scan): 22 units",11/8/2022 11:25:23 AM,Wong Weng Seng (IFAP FE QM FA LOP),FA SIN_PTA,VC224478506_44939,EME-7026,PG-TO263-9-1,11/8/2022 12:00:00 AM,SPLIT,PC,L8704,Q22ZY402_CYL197,ALP_ eD2PAK _SiC MOS_ PG-TO263-9-1_ATJ,OSP,Zhu Ye (IFAP BE TS QM RQ 1),2022-11,PTA,YES,MT224383.06,ASSESSED,,,3,277352
"after PC PTA -HH leg
Attention to Dela Cruz Genny (IFAP FE QM FA PI OPS) 

PTA instructions:
External Visual Inspection (EVI): 5 units
SAM (die top, top and bottom die paddle, top and bottom leads, DA and through scan): 22 units",11/8/2022 11:24:58 AM,Dela Cruz Genny (IFAP FE QM FA PI OPS),FA SIN_PTA,VC224478505_44939,EME-7026,PG-TO263-9-1,11/8/2022 12:00:00 AM,SPLIT,PC,L8704,Q22ZY401_CYL196,ALP_ eD2PAK _SiC MOS_ PG-TO263-9-1_ATJ,OSP,Zhu Ye (IFAP BE TS QM RQ 1),2022-11,PTA,YES,MT224382.05,ASSESSED,,,3,274663
"PTA for TC2000c LL leg
Addtional request to provide 1 unit for cratering check.

To be shipped to FA SIN, attention to Dan Swee Tong (IFAP FE QM FA PI) +65 68664504.
Refer to zero hour FA submission template. 
To use as reference for subsequent same lot stress readout PTA reports.",11/8/2022 11:39:10 AM,Bong Wuan Lii Shirley (IFAP FE QM FA PI),FA SIN_PTA,BS186980H02_LL,CEL 9240 HF10 AK,PG-DSO-8-92,11/8/2022 12:00:00 AM,SPLIT,TC,M2919,Q22TSK61_LAF005,ALP_TH-X_M2919_PG-DSO-8-92_HANA _LL,OSP,Tay Soon Kiat (IFAP BE TS QM RQ 1),2022-11,PTA,YES,MT22334L.16,ASSESSED,,,3,270300
,,,FA-SIN,D_563967,MC_CEL 9240 HF10 AKI2U,PG-TQFP-144-27,11/9/2022 12:00:00 AM,T_SD_3_R3,PC,M4282,Q21_VH12_TC224_NewPlatingJXN_TQFP144_ASE,,58,Savardi Chiara (IFAG ATV QM MC P58),2022-11,IPI,No,,NEW,25µm,BW_AuPd/Cu_4N_25_µm,3,256712
